value,aliases,description
none,"nothing,empty,n/a,na",No tertiary object
logo,"brand mark,symbol,emblem,tabby logo,tabby mark",Logo / brand mark
card tap,"tap to pay,contactless,nfc,payment tap",Card tap / contactless payment
price split,"installment split,4 payments shown,payment breakdown",Installment price breakdown visual
app,"application,mobile app,app interface",App / UI element
smartphone,"phone,mobile,cellphone,iphone,android",Smartphone
laptop,"computer,notebook pc,macbook",Laptop
hands,"hand,palm,fingers,gesture",Hands / hand
woman,"female,lady,girl",Female person
man,"male,guy,gentleman",Male person
outfit,"clothing,fashion,dress,wardrobe",Outfit / clothing
arabic clothes,"abaya,thobe,hijab,traditional dress",Traditional Arabic clothing
scarf,"hijab wrap,shawl,headscarf",Scarf / headscarf
arabic coffee,"qahwa,arab coffee,gahwa,coffee",Arabic coffee
food,"meal,dish,dates,sweets,groceries",Food
sea,"ocean,beach,water,waves,coast",Sea / beach
desert,"sand,sahara,dunes,desert landscape",Desert
riyadh,"ryd,riyadh city,saudi capital",Riyadh
mall,"shopping center,shopping mall",Shopping mall
house items,"home items,household,furniture,home goods",Household items
sport,"sports,athletic,fitness,workout",Sport / athletic
travel,"trip,vacation,journey,suitcase",Travel
car,"vehicle,automobile,driving",Car
abstract,"artistic,conceptual,graphic",Abstract element
amazon,"amazon.com,amazon store",Amazon
homebox,"home box,homebox store",Homebox
noon,"noon store,noon.com",Noon
trendyol,"",Trendyol
niceone,"ninceone,nice one",Niceone
golden scent,"gold perfume,luxury fragrance",Golden Scent
